Tweet,Suicide,Clean_Tweet
wow awesome pics,Not Suicide post,wow awesome pic
death cant be much worse i am 22 male my girlfriend left i have been staying late in the office for too long because i cant cope with the workload friends are non existent hate my family and they hate me i just want to die i dont see any other option at this point,Potential Suicide post ,death cant much worse 22 male girlfriend left staying late office long cant cope workload friend non existent hate family hate want die dont see option point
hate the fact that im damn near forced to figure everything out by myself but it must be done,Potential Suicide post ,hate fact im damn near forced figure everything must done
good morninggood morninggood moooooorning,Not Suicide post,good morninggood morninggood moooooorning
im going to watch tm 2 c wot they hav 2 say bout twitter yor show was brilliant as ever this mornin katie x,Not Suicide post,im going watch tm 2 c wot hav 2 say bout twitter yor show brilliant ever mornin katie x
here's my latest tune leave a comment please,Not Suicide post,'s latest tune leave comment please
watch this space not sure how viable it is yet possibly though,Not Suicide post,watch space sure viable yet possibly though
with jake i desperately and whole heartedly dont want to be here anymore,Potential Suicide post ,jake desperately whole heartedly dont want anymore
me too i want to have an overnight drinking session with friends and i mean all of 'em haha,Not Suicide post,want overnight drinking session friend mean 'em haha
a blunt and honest girl who just wants to take care of her family and a passionate boy perusing his dreams of being,Not Suicide post,blunt honest girl want take care family passionate boy perusing dream
didn t kill myself yet i guess that is something to be proud of i had a gun but my roommate found it planning on finding a lonely bridge to end it i really want a reason to live but i just can t find one,Potential Suicide post ,kill yet guess something proud gun roommate found planning finding lonely bridge end really want reason live find one
photoboth is blackampwhite and wayyy old we call him herbelol i love him he's like a living legend gotta love berlin lt3,Not Suicide post,photoboth blackampwhite wayyy old call herbelol love 's like living legend got ta love berlin lt3
lol wwwtvcom is your friend,Not Suicide post,lol wwwtvcom friend
it wont be miserable for at least 2 weeks tho,Not Suicide post,wont miserable least 2 week tho
tom chaplin marry me please i melt for you hahaha o and pearshapebodygirl stopped talking to me yes,Not Suicide post,tom chaplin marry please melt hahaha pearshapebodygirl stopped talking yes
i'm attempting to make hot cross buns with bella amp ari,Not Suicide post,'m attempting make hot cross bun bella amp ari
this summarize what happened at boc chrismas special when all of them are in a chaos we still have mile phakphum romsaithong who is very calm in everything,Not Suicide post,summarize happened boc chrismas special chaos still mile phakphum romsaithong calm everything
o he just replied to someone dougie replied to quite a few people this afternoon so you never know besides it's fun,Not Suicide post,replied someone dougie replied quite people afternoon never know besides 's fun
i am 16 and hate myself so much i have very little friends an introvenever had a girlfriend been bullied a lot and rejected a lot please help me i want to kill myself it would make all this go away i dont deserve to be on this earth since i write notes on paper of how worthless and stupid i am i want to become someone in the it field but i am too stupid to get in there anyways and jobs nowadays need social people and i am not one of them ive never had a girlfriend before and i want to have one because being a virgin is a bad thing and i could never live with that feeling if i dont have any friends or a girlfriend wheni am an adult i plan on committing suicide can you please help me thanks for reading,Potential Suicide post ,16 hate much little friend introvenever girlfriend bullied lot rejected lot please help want kill would make go away dont deserve earth since write note paper worthless stupid want become someone field stupid get anyways job nowadays need social people one ive never girlfriend want one virgin bad thing could never live feeling dont friend girlfriend wheni adult plan committing suicide please help thanks reading
lincoln ne im sorry if i really want my life to end im sorry i drank for week straight i am sorry but its hard to say its going to be fine,Potential Suicide post ,lincoln ne im sorry really want life end im sorry drank week straight sorry hard say going fine
bruh i hate myself a hot guy that ill never see again says one thing to me and im like damn that would be cute to,Potential Suicide post ,bruh hate hot guy ill never see say one thing im like damn would cute
it makes me hate myself and i didn't do a damn thing,Potential Suicide post ,make hate n't damn thing
y do i overthink everything in my life and then make myself believe these things i just end up disappointed or stressed ugh,Potential Suicide post ,overthink everything life make believe thing end disappointed stressed ugh
hi cutie welcome to the twitternation,Not Suicide post,hi cutie welcome twitternation
is chilling wit my boy,Not Suicide post,chilling wit boy
i dont have long left this past month has been the worst 3 weeks ago i went on date with a guy and went to his place afterwards and he tried to force me to go farther than i wanted to go ive been afraid to even hang out with a guy since the next day i was fired from my job i spent the whole rest of that week alone filling out job app which didnt help with my depression the next week i started having some issues went to get tested and found i had gotten gonorrhea from the guy that tried to force me i went to dinner at a friends house and my car ended up getting towed so i owe my mom 150 for that i almost attempted suicide that day last week and i started work last week but will only be getting a partial paycheck because of when i started and i amcurrently 75 for my bank account and behind on my bills so i dont know how much this check is going to help i just dont have any fight left in me anymore,Potential Suicide post ,dont long left past month worst 3 week ago went date guy went place afterwards tried force go farther wanted go ive afraid even hang guy since next day fired job spent whole rest week alone filling job app didnt help depression next week started issue went get tested found gotten gonorrhea guy tried force went dinner friend house car ended getting towed owe mom 150 almost attempted suicide day last week started work last week getting partial paycheck started amcurrently 75 bank account behind bill dont know much check going help dont fight left anymore
mine,Not Suicide post,mine
tomorrow is going to be great altho if i get eaten by a dinosaur im blaming sophie,Not Suicide post,tomorrow going great altho get eaten dinosaur im blaming sophie
i'm sick and tired of people putting so much energy into shitting on ships but they won't do the same to help a liv,Potential Suicide post ,'m sick tired people putting much energy shitting ship wo n't help liv
loving the credit crunch,Not Suicide post,loving credit crunch
it already is at least in france one doesn't dieloss everything when get sick amp have at least 1,Potential Suicide post ,already least france one n't dieloss everything get sick amp least 1
it was one of hugh's at eastern standard but it's definitely one i'll be planning on making myself in the future,Not Suicide post,one hugh 's eastern standard 's definitely one 'll planning making future
god wrote that i just typed it,Not Suicide post,god wrote typed
the only reason i havent killed myself is because i am terrified of it just being worse or being stuck as a ghost or some crap like that however much i want to live and i really do i simply cannot stand the pain of the reality i am in or the way people treat me,Potential Suicide post ,reason havent killed terrified worse stuck ghost crap like however much want live really simply stand pain reality way people treat
slumdog millionaire oh my god or the new one by james patterson,Not Suicide post,slumdog millionaire oh god new one james patterson
hey guys at home watching telly,Not Suicide post,hey guy home watching telly
should not be crushing on a boy with a nice smile just 'cos he asked for my number hmm,Not Suicide post,crushing boy nice smile 'cos asked number hmm
aww that's really sweet of you i hope you will come back to the uk would be great to see you again xxx,Not Suicide post,aww 's really sweet hope come back uk would great see xxx
ehwhere got face off lawe are all kawans here right or not,Not Suicide post,ehwhere got face lawe kawans right
i just dont want to be here anymore,Potential Suicide post ,dont want anymore
so i blew hella money at joanns damn it i hate that i do this to myself but i love to make shit,Potential Suicide post ,blew hella money joanns damn hate love make shit
the damn 3d movie glasses i hate myself,Potential Suicide post ,damn 3d movie glass hate
preparing for death letting things go i just have one last thing to let go of not trying to get people to panic and attempt to save me as if they could just feels good to be real somewhere to share whats going on to wonder if it will make someone else feel less alone perhaps just me,Potential Suicide post ,preparing death letting thing go one last thing let go trying get people panic attempt save could feel good real somewhere share whats going wonder make someone else feel less alone perhaps
my 13 year old daughter overdosed on about 6 grams of wellbutrin and 1500mg of zoloft i am trying so hard to make this right she was airlifted to children s hospital and now she s laying in her hospital bed unresponsive and her muscles are jerking this has been the scariest day of my life that child is my entire world she s all i have i have out my heaand soul into raising her i never want to lose this little girl but here i am she s about to be 14 she s a little on the eccentric side but she has a heaof gold she s never met a stranger but ever since 8th grade has started she has been getting bullied and the teachers don t really do anything about it this was her way of coping i went to wake her for school this morning and found her covered in vomit and she had been hallucinating and having seizures for hours probably what if i hadn t found her why does she feel like this is the only way i want to make all the bad go away how do i do this how do i help her cope i didn t know who to turn to,Potential Suicide post ,13 year old daughter overdosed 6 gram wellbutrin 1500mg zoloft trying hard make right airlifted child hospital laying hospital bed unresponsive muscle jerking scariest day life child entire world heaand soul raising never want lose little girl 14 little eccentric side heaof gold never met stranger ever since 8th grade started getting bullied teacher really anything way coping went wake school morning found covered vomit hallucinating seizure hour probably found feel like way want make bad go away help cope know turn
my band director just said quotas king julian would say don't play like pansiesquot lol,Not Suicide post,band director said quota king julian would say n't play like pansiesquot lol
ive been ugly all my life ugh this is not fair i want to be cute for at least one era of my miserable life,Potential Suicide post ,ive ugly life ugh fair want cute least one era miserable life
i am so tired of everything please just let me die,Potential Suicide post ,tired everything please let die
haha well it's never a permanent state for me offline,Not Suicide post,haha well 's never permanent state offline
just twigged you mean your financial presentation yes i'll have a look at home and mail to you today,Not Suicide post,twigged mean financial presentation yes 'll look home mail today
i need a job that revolves around promoting mental health but i think its so grimy to make money off of that,Potential Suicide post ,need job revolves around promoting mental health think grimy make money
these thoughts about killing myself her getting louder,Potential Suicide post ,thought killing getting louder
i don't know what to do i'm trying so hard to make a life work to live life my husband literally refuses to take,Potential Suicide post ,n't know 'm trying hard make life work live life husband literally refuse take
kota kinabalu johor bahru honestly the pain i dont want to be here anymore,Potential Suicide post ,kota kinabalu johor bahru honestly pain dont want anymore
i want to die i dont deserve a piece of anything i dont belong anywhere im sick and tired of everything the same peop,Potential Suicide post ,want die dont deserve piece anything dont belong anywhere im sick tired everything peop
i agree with everything except benny i'm tired of him his character is boring and needs to die ijs,Potential Suicide post ,agree everything except benny 'm tired character boring need die ijs
dont do it tim he will be in your dreams at nite but only if you spend over 300 and use the 15 discount he sent last week,Not Suicide post,dont tim dream nite spend 300 use 15 discount sent last week
aww i am proud to be your first reply and that i have taken over your updates haha,Not Suicide post,aww proud first reply taken update haha
is loving the sun but is upset she cant make the picnic thurs,Not Suicide post,loving sun upset cant make picnic thurs
happy birthday,Not Suicide post,happy birthday
please somebody come fucking kill me im so in love,Potential Suicide post ,please somebody come fucking kill im love
i'm tired of living in a world,Potential Suicide post ,'m tired living world
i saw a quote on pinterest that said when i stand before god at the end of my life i hope that i dont have a single bi,Potential Suicide post ,saw quote pinterest said stand god end life hope dont single bi
i couldn't hit you up i hate it when this happens i hate myself when i do it yet i do it constantly,Potential Suicide post ,could n't hit hate happens hate yet constantly
im so loving my great workspace,Not Suicide post,im loving great workspace
thanks,Not Suicide post,thanks
here are 1555 good morning,Not Suicide post,1555 good morning
i m not safe with myself i have been suicidal for a while now i have made 4 attempts this year and yet nobody seems to get it i honestly cant say if i am going to kill myself today i keep breaking down crying and i dont know why i hate myself,Potential Suicide post ,safe suicidal made 4 attempt year yet nobody seems get honestly cant say going kill today keep breaking cry dont know hate
im so much happier amp better off without you weak fake lames leave me alone i dont need you anyway,Potential Suicide post ,im much happier amp better without weak fake lame leave alone dont need anyway
thank you,Not Suicide post,thank
what you so need to put that on the site you know cause us bloggers love free wifi awesome,Not Suicide post,need put site know cause u blogger love free wifi awesome
i imagine it would be not exactly close,Not Suicide post,imagine would exactly close
that could have been embarrassing at least you remembered this time today and not this time tomorrow small mercies,Not Suicide post,could embarrassing least remembered time today time tomorrow small mercy
had a feeling it was going to be a great day got to meet john stockton before the game,Not Suicide post,feeling going great day got meet john stockton game
yup me too,Not Suicide post,yup
i'm actually listening to chopin in the dark right now,Not Suicide post,'m actually listening chopin dark right
whenever i have dreams of my mom lately its as if shes still alive and that she never went away but then again,Potential Suicide post ,whenever dream mom lately shes still alive never went away
rip i didnt know much about you but you helped out in hard times you didnt deserve to die at such a,Potential Suicide post ,rip didnt know much helped hard time didnt deserve die
i hate feelings at this point i think i am clinging onto life waiting for the right set of circumstances to just let go my feelings keep holding me back i hate them i hate having to feel i hate each and every one of them theres something comforting about the idea of nonexistence something comforting about the idea of nothing i long for it,Potential Suicide post ,hate feeling point think clinging onto life waiting right set circumstance let go feeling keep holding back hate hate feel hate every one there something comforting idea nonexistence something comforting idea nothing long
sorry people who arent toxic and wanted be friends,Potential Suicide post ,sorry people arent toxic wanted friend
np lol hhmm will danny and jordan join in danny maybe jordan me hopes not,Not Suicide post,np lol hhmm danny jordan join danny maybe jordan hope
codeine ativan sleep meds alcohol tell me why i shouldnt i am hopeless i m ready to give up,Potential Suicide post ,codeine ativan sleep med alcohol tell shouldnt hopeless ready give
i am going to kill myself this weekend i dont see any reason to stay alive nothing has changed enough to make me want to stay i was raped as a kid and now all i am to people is a sex object good bye everyone,Potential Suicide post ,going kill weekend dont see reason stay alive nothing changed enough make want stay raped kid people sex object good bye everyone
got a crush,Not Suicide post,got crush
if people don't want you dead can you even claim to really be alive,Potential Suicide post ,people n't want dead even claim really alive
i want to be a businessman in futer,Not Suicide post,want businessman futer
mafumafu oh sh it oh g od scrambles to get everything he didn't pack,Potential Suicide post ,mafumafu oh sh oh g od scramble get everything n't pack
yeah still chilly here too but s'posed to return to normal temps this week going to spend some time with the girls this week,Not Suicide post,yeah still chilly s'posed return normal temp week going spend time girl week
tuesday in the great metropolis of hanover what could be better,Not Suicide post,tuesday great metropolis hanover could better
long live life,Not Suicide post,long live life
i know you think you're sad that the cowboys don't play today but any day your team can't lose is an occasion worth celebrate,Not Suicide post,know think 're sad cowboy n't play today day team ca n't lose occasion worth celebrate
i gained weight i'm one of those people everybody hates who can loose weight on a cakeandcookies diet,Not Suicide post,gained weight 'm one people everybody hate loose weight cakeandcookies diet
my baby is tired now,Not Suicide post,baby tired
toothpaste if you use the whitening stuff the bleach will burn a layer of skin off,Not Suicide post,toothpaste use whitening stuff bleach burn layer skin
firstly thank you secondly is the kite runner historically off,Not Suicide post,firstly thank secondly kite runner historically
this sucks man i really don't know what i am about to do anymore rash decisions after rash decision no control ove,Potential Suicide post ,suck man really n't know anymore rash decision rash decision control ove
i am just a mess i ran out of meds and i havent had the strength or energy to go refill them i went to class today and ended up sitting on a sidewalk ugly crying and making people think i am a fucking headcase all i do is sleep and i never feel rested i m alone in a new town and i have no friends and all i want is someone to sit with me and talk a while i am hanging in there because i brought my cats here to this strange place and i cant just leave them to think theyve been abandoned i just took a three hour nap and all i got was a headache and still tired i have no clean laundry my room is a clusterfuck i havent combed my hair in days or eaten and instead of doing things that need donei amlying here trying to avoid intrusive self harm thoughtsi amlazy and awful and i cant get myself to stop it,Potential Suicide post ,mess ran med havent strength energy go refill went class today ended sitting sidewalk ugly cry making people think fucking headcase sleep never feel rested alone new town friend want someone sit talk hanging brought cat strange place cant leave think theyve abandoned took three hour nap got headache still tired clean laundry room clusterfuck havent combed hair day eaten instead thing need donei amlying trying avoid intrusive self harm thoughtsi amlazy awful cant get stop
coming home stoked bears this afternoon with mikeyj alton towers tomorrow,Not Suicide post,coming home stoked bear afternoon mikeyj alton tower tomorrow
i streamed two episodes of riverdale and i hate myself so damn much because now i have no data,Potential Suicide post ,streamed two episode riverdale hate damn much data
well that's impressive both spot 25 and spot 26,Not Suicide post,well 's impressive spot 25 spot 26
im so tired of living,Potential Suicide post ,im tired living
now i gotta go into the bank tomorrow and see what the fuck is going on i had problems about 3 weeks ago with a bi,Potential Suicide post ,got ta go bank tomorrow see fuck going problem 3 week ago bi
yeah cool bookshelves i've got the one with the various books that are pinned to the wall,Not Suicide post,yeah cool bookshelf 've got one various book pinned wall
enough of the shameless book plug,Not Suicide post,enough shameless book plug
why do i get attached so easily this is the one thing i hate about myself the most i end up being my own worst enemy all the damn time,Potential Suicide post ,get attached easily one thing hate end worst enemy damn time
i just dont want to be here anymore,Potential Suicide post ,dont want anymore
thanks to cant wait to get home from work tonight for some reason,Not Suicide post,thanks cant wait get home work tonight reason
bad habits are more difficult to identify in your work life,Not Suicide post,bad habit difficult identify work life
nearly holidays on the other hand camping d d d,Not Suicide post,nearly holiday hand camping
in tired of everything cant wait to die,Potential Suicide post ,tired everything cant wait die
health anxiety prompting some bad thoughts in my head i have been struggling for 2 months now with some health issues as a 26 year old male my pessimistic nature just makes me think about the worst my hands and feet are currently tingling and burning i just keep picturing myself on a wheelchair being a burden to my family girlfriend and so on suicide thoughts come to my mind as i prefer to put a sudden end to everything instead of deteriorating myself day after day losing motor and cognitive functions life is already hard as it is and now my health is failing for the first time,Potential Suicide post ,health anxiety prompting bad thought head struggling 2 month health issue 26 year old male pessimistic nature make think worst hand foot currently tingling burning keep picturing wheelchair burden family girlfriend suicide thought come mind prefer put sudden end everything instead deteriorating day day losing motor cognitive function life already hard health failing first time
daniel won,Potential Suicide post ,daniel
a friend i knew online from last night finally added me up on his messenger,Not Suicide post,friend knew online last night finally added messenger
leven scotlanddont want to be here anymore,Potential Suicide post ,leven scotlanddont want anymore
have you seen this link me thinks you might like it,Not Suicide post,seen link think might like
there was a young man who got tired of staying in this world they called this the living world but he does not fee,Potential Suicide post ,young man got tired staying world called living world fee
patient i hate myself and i want to die,Potential Suicide post ,patient hate want die
lol you saw that hahahawas a fun day of exploration and experimentation,Not Suicide post,lol saw hahahawas fun day exploration experimentation
gigglessssssss ya'll are awesomesauce,Not Suicide post,gigglessssssss ya 'll awesomesauce
cut my wrist and black my eyes,Potential Suicide post ,cut wrist black eye
since we're talking abt him hey uhh remember when yanderedev said intellectually disabled people deserve to die played rapel,Potential Suicide post ,since 're talking abt hey uhh remember yanderedev said intellectually disabled people deserve die played rapel
i never knew that my grandfather death was so hard on my mother like it is on me i guess maybe i thought she wa,Potential Suicide post ,never knew grandfather death hard mother like guess maybe thought wa
tweets are the real life awkward conversation starters between strangers,Potential Suicide post ,tweet real life awkward conversation starter stranger
eating an ed's waffle with icecream cream n chocolate sauce omgosh amazing,Not Suicide post,eating ed 's waffle icecream cream n chocolate sauce omgosh amazing
wow im sooo sad i had everything planned out on when i was going to leave home amp go to college in denver and yo,Potential Suicide post ,wow im sooo sad everything planned going leave home amp go college denver yo
are you expecting,Not Suicide post,expecting
how many times do i have to be in this position for my fucking mother to realise that if i stay here ill either ki,Potential Suicide post ,many time position fucking mother realise stay ill either ki
wanted to kill him,Not Suicide post,wanted kill
comme je le dis si bien let me hate myself god fucking damn it,Potential Suicide post ,comme je le dis si bien let hate god fucking damn
hello people on facebook do you like the way i'm spamming all of your newsfeeds with twitter,Not Suicide post,hello people facebook like way 'm spamming newsfeeds twitter
not a lawyer but i was diagnosed with depression when i was 1213 my brother swore up and down t,Potential Suicide post ,lawyer diagnosed depression 1213 brother swore
getting blown out by the worst team in the league while they wearing these is whats going to be in my suicide note,Potential Suicide post ,getting blown worst team league wearing whats going suicide note
maybe i think i deserve to die,Potential Suicide post ,maybe think deserve die
i m not good at pretending that i am ok so i look like shit i dont smile i still have acne i am 19 i have black circles under my eyes and i have a very pale skin cuz i never leave my house only when i go to school so people stare at me every day some of them point at me and they just laugh some of them give me that disgusted look and some of them just tell me that i m ugly or that i look like a fucking methhead i m so fucking depressed for many other reasons but i think this is the worst one i also have social anxiety so i dont have any friends and i never had a gf when i try to talk to someone i just turn red and its so embarrassing i have already attempted suicide last month and i still feel like shit,Potential Suicide post ,good pretending ok look like shit dont smile still acne 19 black circle eye pale skin cuz never leave house go school people stare every day point laugh give disgusted look tell ugly look like fucking methhead fucking depressed many reason think worst one also social anxiety dont friend never gf try talk someone turn red embarrassing already attempted suicide last month still feel like shit
if you're tired of living for the 1st and 15th and you need to do some immediatelylike when your regular deodora,Potential Suicide post ,'re tired living 1st 15th need immediatelylike regular deodora
i want you to come home right after school,Not Suicide post,want come home right school
buk cdoi dont want to be here anymore,Potential Suicide post ,buk cdoi dont want anymore
this is my sisterinlaw sana on the left and her on the right it's nice to hire your family members and create a conflict o,Not Suicide post,sisterinlaw sana left right 's nice hire family member create conflict
in debt i will kill myself on thursday i am going to stab myself in the stomach or take a lot of pills i m not sure which to do yet sorry for spelling and grammar i am sure nobody here cares anyways,Potential Suicide post ,debt kill thursday going stab stomach take lot pill sure yet sorry spelling grammar sure nobody care anyways
afternoon to you too,Not Suicide post,afternoon
today i almost kill myself because i almost hit by a car,Not Suicide post,today almost kill almost hit car
it's always great to hear from actors whom i've directed trying to encourage them to join twitter,Not Suicide post,'s always great hear actor 've directed trying encourage join twitter
,Not Suicide post,
i want to go park,Not Suicide post,want go park
last few hour in england,Not Suicide post,last hour england
pleasant is right thank you v8 ppl ur the best,Not Suicide post,pleasant right thank v8 ppl ur best
how many people does he want to rip it out of really,Not Suicide post,many people want rip really
i love sleeping until i'm finished,Not Suicide post,love sleeping 'm finished
why yes she is the exceptionally talented goose that works for you and brioso well you just wouldn't understand,Not Suicide post,yes exceptionally talented goose work brioso well would n't understand
everyone follow kade,Not Suicide post,everyone follow kade
oh my god theres fires and craziness goin on and you cant go home cause of it and people are seriously,Potential Suicide post ,oh god there fire craziness goin cant go home cause people seriously
lewis,Not Suicide post,lewis
honestly i'm so tired of everything and myself can i just die already,Potential Suicide post ,honestly 'm tired everything die already
i am now by um 2 woooo,Not Suicide post,um 2 woooo
females will be fucked up in the head and blame a nigga for them being fucked upyall gotta take accountability,Potential Suicide post ,female fucked head blame nigga fucked upyall got ta take accountability
i want to fucking die im so tired of feeling pain constantly god i need to be left alone and cry and wallow in my misery until i feel better,Potential Suicide post ,want fucking die im tired feeling pain constantly god need left alone cry wallow misery feel better
i dont tell people how i feel because i am pretty sure nobody cares about me even writing this brings me anxiety because i know i have to interact with people i just wish i could cry myself to sleep and never wake up no one would every truly miss me,Potential Suicide post ,dont tell people feel pretty sure nobody care even writing brings anxiety know interact people wish could cry sleep never wake one would every truly miss
now playing j gardna ft 2 pistols tone trump amp drop die alone remix dirty on street style radio,Potential Suicide post ,playing j gardna ft 2 pistol tone trump amp drop die alone remix dirty street style radio
bed time,Not Suicide post,bed time
if any of you are having a boring easter then send me a note on msn i love to chat with people my msn is ninaalbertsencom,Not Suicide post,boring easter send note msn love chat people msn ninaalbertsencom
you do know that you have absolutely no power yet and when you do this whole thing will be dead and forgotten,Potential Suicide post ,know absolutely power yet whole thing dead forgotten
why is it that everyday i hate my life more and more i really feel im destined to be miserable forever,Potential Suicide post ,everyday hate life really feel im destined miserable forever
daycare is so damn expensive and the only reason why im getting a discount is because the owner knows my aunt but,Potential Suicide post ,daycare damn expensive reason im getting discount owner know aunt
isn't it sad that after seeing a firetruck in front of a building my first thought was to look up in case someone w,Potential Suicide post ,n't sad seeing firetruck front building first thought look case someone w
hahaha how is everyone,Not Suicide post,hahaha everyone
just woke up good morning everyonee,Not Suicide post,woke good morning everyonee
i can t do this anymore i have no hope i m a senior in college and i just want to die i don t fit in and i feel like no one cares about me everyday i wake up and i try to tell myself that today is a new day but it doesn t work i hate everything about myself and i feel so alone i have no one i don t care how i look and i don t even want to get up in the mornings i just want to end it all end all the suffering and the pain i just want to feel nothing for my anxiety and depression to leave me alone i don t know where to turn but i just can t keep doing this anymore,Potential Suicide post ,anymore hope senior college want die fit feel like one care everyday wake try tell today new day work hate everything feel alone one care look even want get morning want end end suffering pain want feel nothing anxiety depression leave alone know turn keep anymore
i hope you're planning a kennel launch party,Not Suicide post,hope 're planning kennel launch party
trenchi'm not feeling happy,Potential Suicide post ,trenchi 'm feeling happy
living as a hardcore empath is so hard i'm tired of being nice and putting emotional labor into those who are undeserving,Potential Suicide post ,living hardcore empath hard 'm tired nice putting emotional labor undeserving
but 26 characters yr last tweet wouldn't have made the cut,Not Suicide post,26 character yr last tweet would n't made cut
united stateswhy is everything so cancerous now like i cant even remember anymore if all this corporate crap has always been here or not but it's freaking stupid i just want to watch a youtube video i dont want to be forcefed a stupid product every time i go online like its cable tv,Potential Suicide post ,united stateswhy everything cancerous like cant even remember anymore corporate crap always 's freaking stupid want watch youtube video dont want forcefed stupid product every time go online like cable tv
please forgive me i tried to get help i dont know what else to say i am tired of being a burden on everyone else i am tired of everyone writing me off i cant help who i am and i have tried to get help i have a plan and in a few weeks i will no longer be a paof this world,Potential Suicide post ,please forgive tried get help dont know else say tired burden everyone else tired everyone writing cant help tried get help plan week longer paof world
i feel like my time is coming soon like i m running out of time i ve had enough and i m ready to call it quits i ve attempted before but this time i can t afford to fail i have many different pills and other ways i can end it i just need to figure out the best time when maybe tonight maybe tomorrow who knows,Potential Suicide post ,feel like time coming soon like running time enough ready call quits attempted time afford fail many different pill way end need figure best time maybe tonight maybe tomorrow know
i dont know anymore these 4 words make my life a living hell no matter who i say it to in the sudden absence of happiness i know only sadness i have nothing to look forward to because i have fucked my chances up at even having something decent no job no girlfriend and absolutely nothing to motivate me at this point i dont even know why i am still alive it pains me that i am alive,Potential Suicide post ,dont know anymore 4 word make life living hell matter say sudden absence happiness know sadness nothing look forward fucked chance even something decent job girlfriend absolutely nothing motivate point dont even know still alive pain alive
had a nice lunch time for some work now,Not Suicide post,nice lunch time work
thx,Not Suicide post,thx
i work with a lot of russians in the socal office and they look completely miserable whenever i see them,Potential Suicide post ,work lot russian socal office look completely miserable whenever see
hello world tis my first tweet,Not Suicide post,hello world ti first tweet
that's inandout,Not Suicide post,'s inandout
she want to kill him,Not Suicide post,want kill
suicide has now become my new world and i am desperately searching for answers because to those that knew him bes,Potential Suicide post ,suicide become new world desperately searching answer knew be
has anyone had an great success stories on twitter if so i would love to hear your story dm me,Not Suicide post,anyone great success story twitter would love hear story dm
is awesome i do believe you're all jealous but i sorta dont want to go to dancing tonight someone else drive me,Not Suicide post,awesome believe 're jealous sorta dont want go dancing tonight someone else drive
got the best team in the east vs in the chip,Not Suicide post,got best team east v chip
is watching some of his old stuff on youtube ahhh the memories,Not Suicide post,watching old stuff youtube ahhh memory
i know i cant get all the things i want in life but when does it get to feel like at least fixing my mouth to say,Potential Suicide post ,know cant get thing want life get feel like least fixing mouth say
damn right kinda hate myself for not having the system to lay it on being poor sucks,Potential Suicide post ,damn right kinda hate system lay poor suck
in curand voi fi pe ro thx to blogway si cnsc,Not Suicide post,curand voi fi pe ro thx blogway si cnsc
stanford summit 2008 shovideo remebering magical funtasticroller coaster ride,Not Suicide post,stanford summit 2008 shovideo remebering magical funtasticroller coaster ride
when i was in middle school i wanted to be emo don't judge,Potential Suicide post ,middle school wanted emo n't judge
happy birthday,Not Suicide post,happy birthday
oh my god if that jim acosta did to that woman was fucking abuse what do you think trump has done to fucking women,Potential Suicide post ,oh god jim acosta woman fucking abuse think trump done fucking woman
i am newly married and my husband is wonderful i love him so much we are very much in love so why am i suicidal i honestly cant figure it out 9 days out of 10 i am absolutely fine happy positive excited about life then it hits me depression crippling anxiety suicidal thoughts i cut i cry i crumble on days like this i cant believe that anyone cares at all about me except my husband then i feel like i dont deserve him and sometimes push him away whats wrong with me what should i do i just cant shake the thought that everyone would be better off without me especially my husband,Potential Suicide post ,newly married husband wonderful love much much love suicidal honestly cant figure 9 day 10 absolutely fine happy positive excited life hit depression crippling anxiety suicidal thought cut cry crumble day like cant believe anyone care except husband feel like dont deserve sometimes push away whats wrong cant shake thought everyone would better without especially husband
nothing before blogworld expo on the schedule at this stage have netbook will travel tho',Not Suicide post,nothing blogworld expo schedule stage netbook travel tho '
thanks for very quick service in fitting shiny new number plates,Not Suicide post,thanks quick service fitting shiny new number plate
i feel like no one cares i just want to die maybe then i d feel less lonely,Potential Suicide post ,feel like one care want die maybe feel less lonely
today one year ago i lost a neighbour and friend to so here is a quote that got me through my worst t,Potential Suicide post ,today one year ago lost neighbour friend quote got worst
hootsuite monetizing twitter shurely shum mishtake,Not Suicide post,hootsuite monetizing twitter shurely shum mishtake
i feel sorry for my 64 followers cause my posts probably take up their entire page,Not Suicide post,feel sorry 64 follower cause post probably take entire page
morning tina the fact is we'll do something with it wouldn't it be great if it was something big,Not Suicide post,morning tina fact 'll something would n't great something big
wow just back from my longest ever non stop run 14 miles now i truly know what sore legs feel like delighted tho,Not Suicide post,wow back longest ever non stop run 14 mile truly know sore leg feel like delighted tho
greetings jason so far twitter's great today thanks for taking a moment for us enjoy your swim hugs angel,Not Suicide post,greeting jason far twitter 's great today thanks taking moment u enjoy swim hug angel
but his blood runs through my instrument and his song is i,Potential Suicide post ,blood run instrument song
liking it,Not Suicide post,liking
tired of living this life,Potential Suicide post ,tired living life
she want to be a doctor,Not Suicide post,want doctor
good morning only about eight hours until noodles the only positive thing i can think of right now,Not Suicide post,good morning eight hour noodle positive thing think right
it's going to be a beautiful dayi am going to have a new granddaughter,Not Suicide post,'s going beautiful dayi going new granddaughter
you guys are mean i would never wake up my friends,Potential Suicide post ,guy mean would never wake friend
mesh mohm i just wanted you to know that youre the softest person came to my miserable life oh this is sweet,Potential Suicide post ,mesh mohm wanted know youre softest person came miserable life oh sweet
disappearing when you wake up but theres nothing to be afraid of even when the night changes it will never change me and you,Potential Suicide post ,disappearing wake there nothing afraid even night change never change
so tired of living with these niggas only 2 12 months to go,Potential Suicide post ,tired living nigga 2 12 month go
