Tweet,Suicide,Clean_Tweet
girl i want to look this good when i'm pregnant lol congratulations beautiful i hope it's a girl so she can be like you,Not Suicide post,"['girl', 'i', 'want', 'to', 'look', 'this', 'good', 'when', 'i', ""'m"", 'pregnant', 'lol', 'congratulations', 'beautiful', 'i', 'hope', 'it', ""'s"", 'a', 'girl', 'so', 'she', 'can', 'be', 'like', 'you']"
i'm a size 5 but i have to wear orthotics in my footwear if i'm attempting to walk so i can get away with a 6,Not Suicide post,"['i', ""'m"", 'a', 'size', '5', 'but', 'i', 'have', 'to', 'wear', 'orthotics', 'in', 'my', 'footwear', 'if', 'i', ""'m"", 'attempting', 'to', 'walk', 'so', 'i', 'can', 'get', 'away', 'with', 'a', '6']"
now my heawants to die too i ve been struggling with depression trauma and suicidal thoughts for years but honestly things havent been as painful as they are now i am here sitting alone and alienated confused depressed miserable helpless and alone and honestly at this point i just hate life,Potential Suicide post ,"['now', 'my', 'heawants', 'to', 'die', 'too', 'i', 've', 'been', 'struggling', 'with', 'depression', 'trauma', 'and', 'suicidal', 'thoughts', 'for', 'years', 'but', 'honestly', 'things', 'havent', 'been', 'as', 'painful', 'as', 'they', 'are', 'now', 'i', 'am', 'here', 'sitting', 'alone', 'and', 'alienated', 'confused', 'depressed', 'miserable', 'helpless', 'and', 'alone', 'and', 'honestly', 'at', 'this', 'point', 'i', 'just', 'hate', 'life']"
wasn't the miami valley already frozen it's winter,Not Suicide post,"['was', ""n't"", 'the', 'miami', 'valley', 'already', 'frozen', 'it', ""'s"", 'winter']"
im actually tired of this its like living in a home where the troubled deceitful child always wi,Potential Suicide post ,"['im', 'actually', 'tired', 'of', 'this', 'its', 'like', 'living', 'in', 'a', 'home', 'where', 'the', 'troubled', 'deceitful', 'child', 'always', 'wi']"
i dont want them to come for my account literally the only thing keeping me through the miserable existence that is,Potential Suicide post ,"['i', 'dont', 'want', 'them', 'to', 'come', 'for', 'my', 'account', 'literally', 'the', 'only', 'thing', 'keeping', 'me', 'through', 'the', 'miserable', 'existence', 'that', 'is']"
he is good he's down in florida for mts he graduates in late aprilhe really happy about this,Not Suicide post,"['he', 'is', 'good', 'he', ""'s"", 'down', 'in', 'florida', 'for', 'mts', 'he', 'graduates', 'in', 'late', 'aprilhe', 'really', 'happy', 'about', 'this']"
i've been at school since yesterday good morning demi lovato im a fan from canada,Not Suicide post,"['i', ""'ve"", 'been', 'at', 'school', 'since', 'yesterday', 'good', 'morning', 'demi', 'lovato', 'im', 'a', 'fan', 'from', 'canada']"
we were approved for a cute townhome so much closer to work i'm so excited,Not Suicide post,"['we', 'were', 'approved', 'for', 'a', 'cute', 'townhome', 'so', 'much', 'closer', 'to', 'work', 'i', ""'m"", 'so', 'excited']"
im sick and tired of listening to sayingfirst and foremost were all here to work for c,Potential Suicide post ,"['im', 'sick', 'and', 'tired', 'of', 'listening', 'to', 'sayingfirst', 'and', 'foremost', 'were', 'all', 'here', 'to', 'work', 'for', 'c']"
this is correct i for one absolutely do not want to live in a country with these fucking chuds and i believe 25,Potential Suicide post ,"['this', 'is', 'correct', 'i', 'for', 'one', 'absolutely', 'do', 'not', 'want', 'to', 'live', 'in', 'a', 'country', 'with', 'these', 'fucking', 'chuds', 'and', 'i', 'believe', '25']"
i wish i still had my simpsons shower radio,Not Suicide post,"['i', 'wish', 'i', 'still', 'had', 'my', 'simpsons', 'shower', 'radio']"
i love everyone else while i hate myself,Potential Suicide post ,"['i', 'love', 'everyone', 'else', 'while', 'i', 'hate', 'myself']"
tired of living like this,Potential Suicide post ,"['tired', 'of', 'living', 'like', 'this']"
dude i am so jealous goin to buy some on thurs,Not Suicide post,"['dude', 'i', 'am', 'so', 'jealous', 'goin', 'to', 'buy', 'some', 'on', 'thurs']"
welcome tweetlt3 lets get this,Not Suicide post,"['welcome', 'tweetlt3', 'lets', 'get', 'this']"
thats not how it works and if you truly believe this then i feel sorry for you we do,Potential Suicide post ,"['thats', 'not', 'how', 'it', 'works', 'and', 'if', 'you', 'truly', 'believe', 'this', 'then', 'i', 'feel', 'sorry', 'for', 'you', 'we', 'do']"
happy birthday eat something good,Not Suicide post,"['happy', 'birthday', 'eat', 'something', 'good']"
it will only get worse come winter the chai at the goldfish bowl is the best out,Not Suicide post,"['it', 'will', 'only', 'get', 'worse', 'come', 'winter', 'the', 'chai', 'at', 'the', 'goldfish', 'bowl', 'is', 'the', 'best', 'out']"
i love to see palestinians dancing and having fun good amppositive stories deserve to go viral as well,Not Suicide post,"['i', 'love', 'to', 'see', 'palestinians', 'dancing', 'and', 'having', 'fun', 'good', 'amppositive', 'stories', 'deserve', 'to', 'go', 'viral', 'as', 'well']"
,Potential Suicide post ,[]
ever feel like everyone's better off without you because me fucking too,Potential Suicide post ,"['ever', 'feel', 'like', 'everyone', ""'s"", 'better', 'off', 'without', 'you', 'because', 'me', 'fucking', 'too']"
nope ahm preps for props,Not Suicide post,"['nope', 'ahm', 'preps', 'for', 'props']"
recorded what,Not Suicide post,"['recorded', 'what']"
what about twittering your task,Not Suicide post,"['what', 'about', 'twittering', 'your', 'task']"
gt in june 28 in portugal i don't know should i go or is just another catching song,Not Suicide post,"['gt', 'in', 'june', '28', 'in', 'portugal', 'i', 'do', ""n't"", 'know', 'should', 'i', 'go', 'or', 'is', 'just', 'another', 'catching', 'song']"
i want to be a painter,Not Suicide post,"['i', 'want', 'to', 'be', 'a', 'painter']"
my cowley road ep has been rereleased on itunes if you don't have it get it,Not Suicide post,"['my', 'cowley', 'road', 'ep', 'has', 'been', 'rereleased', 'on', 'itunes', 'if', 'you', 'do', ""n't"", 'have', 'it', 'get', 'it']"
how did i just give up on sleeping im not even trying anymore i hate myself damn,Potential Suicide post ,"['how', 'did', 'i', 'just', 'give', 'up', 'on', 'sleeping', 'im', 'not', 'even', 'trying', 'anymore', 'i', 'hate', 'myself', 'damn']"
how's it cooking looking forward to having a taste later,Not Suicide post,"['how', ""'s"", 'it', 'cooking', 'looking', 'forward', 'to', 'having', 'a', 'taste', 'later']"
200 words over with still more to write lame burritos for tea,Not Suicide post,"['200', 'words', 'over', 'with', 'still', 'more', 'to', 'write', 'lame', 'burritos', 'for', 'tea']"
phone againn,Not Suicide post,"['phone', 'againn']"
on this day november 12th 1976 queen release single somebody to love,Potential Suicide post ,"['on', 'this', 'day', 'november', '12th', '1976', 'queen', 'release', 'single', 'somebody', 'to', 'love']"
its fucking cold copyright i hate working at 4 am tf did i sign up for why did i do this to myself damn it,Potential Suicide post ,"['its', 'fucking', 'cold', 'copyright', 'i', 'hate', 'working', 'at', '4', 'am', 'tf', 'did', 'i', 'sign', 'up', 'for', 'why', 'did', 'i', 'do', 'this', 'to', 'myself', 'damn', 'it']"
about time you should always listen to your wise friend kate she's the coolest,Not Suicide post,"['about', 'time', 'you', 'should', 'always', 'listen', 'to', 'your', 'wise', 'friend', 'kate', 'she', ""'s"", 'the', 'coolest']"
i dont want to die but you know nothing is for certain and im tired of keeping quiet,Potential Suicide post ,"['i', 'dont', 'want', 'to', 'die', 'but', 'you', 'know', 'nothing', 'is', 'for', 'certain', 'and', 'im', 'tired', 'of', 'keeping', 'quiet']"
one month from today we'll be on that plane headin' for ny,Not Suicide post,"['one', 'month', 'from', 'today', 'we', ""'ll"", 'be', 'on', 'that', 'plane', 'headin', ""'"", 'for', 'ny']"
i just dont want to be here anymore,Potential Suicide post ,"['i', 'just', 'dont', 'want', 'to', 'be', 'here', 'anymore']"
wwwyoutubecomtitomi15watch the videoscommentampsuscribe amp follow me cheers x,Not Suicide post,"['wwwyoutubecomtitomi15watch', 'the', 'videoscommentampsuscribe', 'amp', 'follow', 'me', 'cheers', 'x']"
iowa no 2 in happy yea,Not Suicide post,"['iowa', 'no', '2', 'in', 'happy', 'yea']"
damn really hate myself rn,Potential Suicide post ,"['damn', 'really', 'hate', 'myself', 'rn']"
oh sorry would have replied earlier but was flickin thru my wonderful new book of ideas,Not Suicide post,"['oh', 'sorry', 'would', 'have', 'replied', 'earlier', 'but', 'was', 'flickin', 'thru', 'my', 'wonderful', 'new', 'book', 'of', 'ideas']"
i want to let it be known that if any of my homies ever in your life feel like yall alone or just tired of living im a tex,Potential Suicide post ,"['i', 'want', 'to', 'let', 'it', 'be', 'known', 'that', 'if', 'any', 'of', 'my', 'homies', 'ever', 'in', 'your', 'life', 'feel', 'like', 'yall', 'alone', 'or', 'just', 'tired', 'of', 'living', 'im', 'a', 'tex']"
hey doing well looking forward to meeting up with you and in dc,Not Suicide post,"['hey', 'doing', 'well', 'looking', 'forward', 'to', 'meeting', 'up', 'with', 'you', 'and', 'in', 'dc']"
im done trying to be happy it never helped and it never got approved by my parents meaning i have to stop all of what makes me happy and honestly i dont want to try anymore im just going to sit here and fail and keep failing until one day when death finally falls upon me,Potential Suicide post ,"['im', 'done', 'trying', 'to', 'be', 'happy', 'it', 'never', 'helped', 'and', 'it', 'never', 'got', 'approved', 'by', 'my', 'parents', 'meaning', 'i', 'have', 'to', 'stop', 'all', 'of', 'what', 'makes', 'me', 'happy', 'and', 'honestly', 'i', 'dont', 'want', 'to', 'try', 'anymore', 'im', 'just', 'going', 'to', 'sit', 'here', 'and', 'fail', 'and', 'keep', 'failing', 'until', 'one', 'day', 'when', 'death', 'finally', 'falls', 'upon', 'me']"
trim are doing it with nambu bitly are doing it with tweetdeck,Not Suicide post,"['trim', 'are', 'doing', 'it', 'with', 'nambu', 'bitly', 'are', 'doing', 'it', 'with', 'tweetdeck']"
being a single mommy was never paof the plan but i wake up everyday and do my shit,Potential Suicide post ,"['being', 'a', 'single', 'mommy', 'was', 'never', 'paof', 'the', 'plan', 'but', 'i', 'wake', 'up', 'everyday', 'and', 'do', 'my', 'shit']"
has only been awake two hours but would like to go back to sleep,Not Suicide post,"['has', 'only', 'been', 'awake', 'two', 'hours', 'but', 'would', 'like', 'to', 'go', 'back', 'to', 'sleep']"
its amazing i saw it on broadway with the original cast,Not Suicide post,"['its', 'amazing', 'i', 'saw', 'it', 'on', 'broadway', 'with', 'the', 'original', 'cast']"
you been puffing on that dragon again ey,Not Suicide post,"['you', 'been', 'puffing', 'on', 'that', 'dragon', 'again', 'ey']"
yes i am obviously the only one at the national aviary who answers the phone,Not Suicide post,"['yes', 'i', 'am', 'obviously', 'the', 'only', 'one', 'at', 'the', 'national', 'aviary', 'who', 'answers', 'the', 'phone']"
glass half fullglass half empty this team is legitimately pretty good if you go by sports references simple,Not Suicide post,"['glass', 'half', 'fullglass', 'half', 'empty', 'this', 'team', 'is', 'legitimately', 'pretty', 'good', 'if', 'you', 'go', 'by', 'sports', 'references', 'simple']"
time to turn off and go to sleep i think its been a big day goodnight all,Not Suicide post,"['time', 'to', 'turn', 'off', 'and', 'go', 'to', 'sleep', 'i', 'think', 'its', 'been', 'a', 'big', 'day', 'goodnight', 'all']"
well i must say your comments have even got me thinking his hair looks rather sexy so i doubt she has much chance to resist,Not Suicide post,"['well', 'i', 'must', 'say', 'your', 'comments', 'have', 'even', 'got', 'me', 'thinking', 'his', 'hair', 'looks', 'rather', 'sexy', 'so', 'i', 'doubt', 'she', 'has', 'much', 'chance', 'to', 'resist']"
bartomeu today he celebrates two further honours in a legendary career a 5th pichichi goalscorer award and the di st,Not Suicide post,"['bartomeu', 'today', 'he', 'celebrates', 'two', 'further', 'honours', 'in', 'a', 'legendary', 'career', 'a', '5th', 'pichichi', 'goalscorer', 'award', 'and', 'the', 'di', 'st']"
nope you just caught me cheers i'm sure i will hope the sunshine holds out for you,Not Suicide post,"['nope', 'you', 'just', 'caught', 'me', 'cheers', 'i', ""'m"", 'sure', 'i', 'will', 'hope', 'the', 'sunshine', 'holds', 'out', 'for', 'you']"
i went with csi as my episode 3 of dollhouse needed redownloading once that's done i can watch that then the rest,Not Suicide post,"['i', 'went', 'with', 'csi', 'as', 'my', 'episode', '3', 'of', 'dollhouse', 'needed', 'redownloading', 'once', 'that', ""'s"", 'done', 'i', 'can', 'watch', 'that', 'then', 'the', 'rest']"
just had lovely cuddle with tali virgo,Not Suicide post,"['just', 'had', 'lovely', 'cuddle', 'with', 'tali', 'virgo']"
is home from the gym and is going to sit on her butt all day,Not Suicide post,"['is', 'home', 'from', 'the', 'gym', 'and', 'is', 'going', 'to', 'sit', 'on', 'her', 'butt', 'all', 'day']"
going for a fourmile night runaround the old b52 bomber on andersen gotta tape my ankles,Not Suicide post,"['going', 'for', 'a', 'fourmile', 'night', 'runaround', 'the', 'old', 'b52', 'bomber', 'on', 'andersen', 'got', 'ta', 'tape', 'my', 'ankles']"
everything is temporary evil eyes off shivrit,Not Suicide post,"['everything', 'is', 'temporary', 'evil', 'eyes', 'off', 'shivrit']"
a little of what you fancy does you good i am told,Not Suicide post,"['a', 'little', 'of', 'what', 'you', 'fancy', 'does', 'you', 'good', 'i', 'am', 'told']"
after sickness back to work,Not Suicide post,"['after', 'sickness', 'back', 'to', 'work']"
i woke up feeling great,Not Suicide post,"['i', 'woke', 'up', 'feeling', 'great']"
he is not tired of everything,Not Suicide post,"['he', 'is', 'not', 'tired', 'of', 'everything']"
hi,Not Suicide post,['hi']
don't get upset by it not worth it besides if they do that with enough people their accounts will not be so popular,Not Suicide post,"['do', ""n't"", 'get', 'upset', 'by', 'it', 'not', 'worth', 'it', 'besides', 'if', 'they', 'do', 'that', 'with', 'enough', 'people', 'their', 'accounts', 'will', 'not', 'be', 'so', 'popular']"
we just got a picture with my boyfriend thats what that is,Not Suicide post,"['we', 'just', 'got', 'a', 'picture', 'with', 'my', 'boyfriend', 'thats', 'what', 'that', 'is']"
ah it's not the same since the old days when he of the orangeface was still around,Not Suicide post,"['ah', 'it', ""'s"", 'not', 'the', 'same', 'since', 'the', 'old', 'days', 'when', 'he', 'of', 'the', 'orangeface', 'was', 'still', 'around']"
lol supp it aint fucked,Not Suicide post,"['lol', 'supp', 'it', 'aint', 'fucked']"
living in the hood can be really tough i am tired of losing people to the violence i will not give up,Potential Suicide post ,"['living', 'in', 'the', 'hood', 'can', 'be', 'really', 'tough', 'i', 'am', 'tired', 'of', 'losing', 'people', 'to', 'the', 'violence', 'i', 'will', 'not', 'give', 'up']"
i want to kill myself i really want to fucking kill myself im done,Potential Suicide post ,"['i', 'want', 'to', 'kill', 'myself', 'i', 'really', 'want', 'to', 'fucking', 'kill', 'myself', 'im', 'done']"
oh somebody kill me please,Potential Suicide post ,"['oh', 'somebody', 'kill', 'me', 'please']"
yes indeed with copious amounts of whipped cream,Not Suicide post,"['yes', 'indeed', 'with', 'copious', 'amounts', 'of', 'whipped', 'cream']"
i am empty i ve been focusing on school and work but every day i feel worse and worse last night i got blackout drunk didnt help made me feel even worse i know that my loneliness comes mostly from my conscious decisions cant live with people cant live without them the only reason i havent killed myself yet is that i fear the pain,Potential Suicide post ,"['i', 'am', 'empty', 'i', 've', 'been', 'focusing', 'on', 'school', 'and', 'work', 'but', 'every', 'day', 'i', 'feel', 'worse', 'and', 'worse', 'last', 'night', 'i', 'got', 'blackout', 'drunk', 'didnt', 'help', 'made', 'me', 'feel', 'even', 'worse', 'i', 'know', 'that', 'my', 'loneliness', 'comes', 'mostly', 'from', 'my', 'conscious', 'decisions', 'cant', 'live', 'with', 'people', 'cant', 'live', 'without', 'them', 'the', 'only', 'reason', 'i', 'havent', 'killed', 'myself', 'yet', 'is', 'that', 'i', 'fear', 'the', 'pain']"
glad to hear you're making the switch you will not be disappointed,Not Suicide post,"['glad', 'to', 'hear', 'you', ""'re"", 'making', 'the', 'switch', 'you', 'will', 'not', 'be', 'disappointed']"
i want to fucking kill myself,Potential Suicide post ,"['i', 'want', 'to', 'fucking', 'kill', 'myself']"
please retweet my weed g board the coolest adult cartoon i'm tired of living the worst times of my life plea,Potential Suicide post ,"['please', 'retweet', 'my', 'weed', 'g', 'board', 'the', 'coolest', 'adult', 'cartoon', 'i', ""'m"", 'tired', 'of', 'living', 'the', 'worst', 'times', 'of', 'my', 'life', 'plea']"
off to the bakery to buy yummy stuff,Not Suicide post,"['off', 'to', 'the', 'bakery', 'to', 'buy', 'yummy', 'stuff']"
is cleaning up will staanew,Not Suicide post,"['is', 'cleaning', 'up', 'will', 'staanew']"
the rewards will be credited to your huobi account in 3 working days,Not Suicide post,"['the', 'rewards', 'will', 'be', 'credited', 'to', 'your', 'huobi', 'account', 'in', '3', 'working', 'days']"
proof,Not Suicide post,['proof']
'hen' style may or may not involve making promises other people need to deliver no such concerns here,Not Suicide post,"[""'hen"", ""'"", 'style', 'may', 'or', 'may', 'not', 'involve', 'making', 'promises', 'other', 'people', 'need', 'to', 'deliver', 'no', 'such', 'concerns', 'here']"
keep it up you do good work,Not Suicide post,"['keep', 'it', 'up', 'you', 'do', 'good', 'work']"
niiiceee,Not Suicide post,['niiiceee']
today i almost kill myself because i almost hit by a car thank lord,Not Suicide post,"['today', 'i', 'almost', 'kill', 'myself', 'because', 'i', 'almost', 'hit', 'by', 'a', 'car', 'thank', 'lord']"
sir please tell does it suit to respected pm to tell give me 50 days and if things dont improve burn me alive if yes then anyone can say that come we shall burn you if not i didnt see anyone disassociating with this line,Potential Suicide post ,"['sir', 'please', 'tell', 'does', 'it', 'suit', 'to', 'respected', 'pm', 'to', 'tell', 'give', 'me', '50', 'days', 'and', 'if', 'things', 'dont', 'improve', 'burn', 'me', 'alive', 'if', 'yes', 'then', 'anyone', 'can', 'say', 'that', 'come', 'we', 'shall', 'burn', 'you', 'if', 'not', 'i', 'didnt', 'see', 'anyone', 'disassociating', 'with', 'this', 'line']"
extremely tired of everything i just want to die,Potential Suicide post ,"['extremely', 'tired', 'of', 'everything', 'i', 'just', 'want', 'to', 'die']"
im a fucking lunatic when i get angry its so terrible i need to work on this so bad before i end up doing something that fu,Potential Suicide post ,"['im', 'a', 'fucking', 'lunatic', 'when', 'i', 'get', 'angry', 'its', 'so', 'terrible', 'i', 'need', 'to', 'work', 'on', 'this', 'so', 'bad', 'before', 'i', 'end', 'up', 'doing', 'something', 'that', 'fu']"
congratulations dave enjoy the little 'un xxx,Not Suicide post,"['congratulations', 'dave', 'enjoy', 'the', 'little', ""'un"", 'xxx']"
good morning,Not Suicide post,"['good', 'morning']"
yummy starbucks,Not Suicide post,"['yummy', 'starbucks']"
death scares tf out of me and i am not ready to die,Potential Suicide post ,"['death', 'scares', 'tf', 'out', 'of', 'me', 'and', 'i', 'am', 'not', 'ready', 'to', 'die']"
i hate being by myself bc everything a damn music video,Potential Suicide post ,"['i', 'hate', 'being', 'by', 'myself', 'bc', 'everything', 'a', 'damn', 'music', 'video']"
i went to starbucks earlier,Not Suicide post,"['i', 'went', 'to', 'starbucks', 'earlier']"
gene has been acting a bit odd lately when i told him about leper wanting to jump out of the tree to join the supe,Potential Suicide post ,"['gene', 'has', 'been', 'acting', 'a', 'bit', 'odd', 'lately', 'when', 'i', 'told', 'him', 'about', 'leper', 'wanting', 'to', 'jump', 'out', 'of', 'the', 'tree', 'to', 'join', 'the', 'supe']"
i was drinking and crying my night away as usual to find out my ex is fucking a girl in his bed so i tried to kill,Potential Suicide post ,"['i', 'was', 'drinking', 'and', 'crying', 'my', 'night', 'away', 'as', 'usual', 'to', 'find', 'out', 'my', 'ex', 'is', 'fucking', 'a', 'girl', 'in', 'his', 'bed', 'so', 'i', 'tried', 'to', 'kill']"
wow awesome pics,Not Suicide post,"['wow', 'awesome', 'pics']"
death cant be much worse i am 22 male my girlfriend left i have been staying late in the office for too long because i cant cope with the workload friends are non existent hate my family and they hate me i just want to die i dont see any other option at this point,Potential Suicide post ,"['death', 'cant', 'be', 'much', 'worse', 'i', 'am', '22', 'male', 'my', 'girlfriend', 'left', 'i', 'have', 'been', 'staying', 'late', 'in', 'the', 'office', 'for', 'too', 'long', 'because', 'i', 'cant', 'cope', 'with', 'the', 'workload', 'friends', 'are', 'non', 'existent', 'hate', 'my', 'family', 'and', 'they', 'hate', 'me', 'i', 'just', 'want', 'to', 'die', 'i', 'dont', 'see', 'any', 'other', 'option', 'at', 'this', 'point']"
hate the fact that im damn near forced to figure everything out by myself but it must be done,Potential Suicide post ,"['hate', 'the', 'fact', 'that', 'im', 'damn', 'near', 'forced', 'to', 'figure', 'everything', 'out', 'by', 'myself', 'but', 'it', 'must', 'be', 'done']"
good morninggood morninggood moooooorning,Not Suicide post,"['good', 'morninggood', 'morninggood', 'moooooorning']"
im going to watch tm 2 c wot they hav 2 say bout twitter yor show was brilliant as ever this mornin katie x,Not Suicide post,"['im', 'going', 'to', 'watch', 'tm', '2', 'c', 'wot', 'they', 'hav', '2', 'say', 'bout', 'twitter', 'yor', 'show', 'was', 'brilliant', 'as', 'ever', 'this', 'mornin', 'katie', 'x']"
here's my latest tune leave a comment please,Not Suicide post,"['here', ""'s"", 'my', 'latest', 'tune', 'leave', 'a', 'comment', 'please']"
watch this space not sure how viable it is yet possibly though,Not Suicide post,"['watch', 'this', 'space', 'not', 'sure', 'how', 'viable', 'it', 'is', 'yet', 'possibly', 'though']"
with jake i desperately and whole heartedly dont want to be here anymore,Potential Suicide post ,"['with', 'jake', 'i', 'desperately', 'and', 'whole', 'heartedly', 'dont', 'want', 'to', 'be', 'here', 'anymore']"
me too i want to have an overnight drinking session with friends and i mean all of 'em haha,Not Suicide post,"['me', 'too', 'i', 'want', 'to', 'have', 'an', 'overnight', 'drinking', 'session', 'with', 'friends', 'and', 'i', 'mean', 'all', 'of', ""'em"", 'haha']"
a blunt and honest girl who just wants to take care of her family and a passionate boy perusing his dreams of being,Not Suicide post,"['a', 'blunt', 'and', 'honest', 'girl', 'who', 'just', 'wants', 'to', 'take', 'care', 'of', 'her', 'family', 'and', 'a', 'passionate', 'boy', 'perusing', 'his', 'dreams', 'of', 'being']"
didn t kill myself yet i guess that is something to be proud of i had a gun but my roommate found it planning on finding a lonely bridge to end it i really want a reason to live but i just can t find one,Potential Suicide post ,"['didn', 't', 'kill', 'myself', 'yet', 'i', 'guess', 'that', 'is', 'something', 'to', 'be', 'proud', 'of', 'i', 'had', 'a', 'gun', 'but', 'my', 'roommate', 'found', 'it', 'planning', 'on', 'finding', 'a', 'lonely', 'bridge', 'to', 'end', 'it', 'i', 'really', 'want', 'a', 'reason', 'to', 'live', 'but', 'i', 'just', 'can', 't', 'find', 'one']"
photoboth is blackampwhite and wayyy old we call him herbelol i love him he's like a living legend gotta love berlin lt3,Not Suicide post,"['photoboth', 'is', 'blackampwhite', 'and', 'wayyy', 'old', 'we', 'call', 'him', 'herbelol', 'i', 'love', 'him', 'he', ""'s"", 'like', 'a', 'living', 'legend', 'got', 'ta', 'love', 'berlin', 'lt3']"
lol wwwtvcom is your friend,Not Suicide post,"['lol', 'wwwtvcom', 'is', 'your', 'friend']"
it wont be miserable for at least 2 weeks tho,Not Suicide post,"['it', 'wont', 'be', 'miserable', 'for', 'at', 'least', '2', 'weeks', 'tho']"
tom chaplin marry me please i melt for you hahaha o and pearshapebodygirl stopped talking to me yes,Not Suicide post,"['tom', 'chaplin', 'marry', 'me', 'please', 'i', 'melt', 'for', 'you', 'hahaha', 'o', 'and', 'pearshapebodygirl', 'stopped', 'talking', 'to', 'me', 'yes']"
i'm attempting to make hot cross buns with bella amp ari,Not Suicide post,"['i', ""'m"", 'attempting', 'to', 'make', 'hot', 'cross', 'buns', 'with', 'bella', 'amp', 'ari']"
this summarize what happened at boc chrismas special when all of them are in a chaos we still have mile phakphum romsaithong who is very calm in everything,Not Suicide post,"['this', 'summarize', 'what', 'happened', 'at', 'boc', 'chrismas', 'special', 'when', 'all', 'of', 'them', 'are', 'in', 'a', 'chaos', 'we', 'still', 'have', 'mile', 'phakphum', 'romsaithong', 'who', 'is', 'very', 'calm', 'in', 'everything']"
o he just replied to someone dougie replied to quite a few people this afternoon so you never know besides it's fun,Not Suicide post,"['o', 'he', 'just', 'replied', 'to', 'someone', 'dougie', 'replied', 'to', 'quite', 'a', 'few', 'people', 'this', 'afternoon', 'so', 'you', 'never', 'know', 'besides', 'it', ""'s"", 'fun']"
i am 16 and hate myself so much i have very little friends an introvenever had a girlfriend been bullied a lot and rejected a lot please help me i want to kill myself it would make all this go away i dont deserve to be on this earth since i write notes on paper of how worthless and stupid i am i want to become someone in the it field but i am too stupid to get in there anyways and jobs nowadays need social people and i am not one of them ive never had a girlfriend before and i want to have one because being a virgin is a bad thing and i could never live with that feeling if i dont have any friends or a girlfriend wheni am an adult i plan on committing suicide can you please help me thanks for reading,Potential Suicide post ,"['i', 'am', '16', 'and', 'hate', 'myself', 'so', 'much', 'i', 'have', 'very', 'little', 'friends', 'an', 'introvenever', 'had', 'a', 'girlfriend', 'been', 'bullied', 'a', 'lot', 'and', 'rejected', 'a', 'lot', 'please', 'help', 'me', 'i', 'want', 'to', 'kill', 'myself', 'it', 'would', 'make', 'all', 'this', 'go', 'away', 'i', 'dont', 'deserve', 'to', 'be', 'on', 'this', 'earth', 'since', 'i', 'write', 'notes', 'on', 'paper', 'of', 'how', 'worthless', 'and', 'stupid', 'i', 'am', 'i', 'want', 'to', 'become', 'someone', 'in', 'the', 'it', 'field', 'but', 'i', 'am', 'too', 'stupid', 'to', 'get', 'in', 'there', 'anyways', 'and', 'jobs', 'nowadays', 'need', 'social', 'people', 'and', 'i', 'am', 'not', 'one', 'of', 'them', 'ive', 'never', 'had', 'a', 'girlfriend', 'before', 'and', 'i', 'want', 'to', 'have', 'one', 'because', 'being', 'a', 'virgin', 'is', 'a', 'bad', 'thing', 'and', 'i', 'could', 'never', 'live', 'with', 'that', 'feeling', 'if', 'i', 'dont', 'have', 'any', 'friends', 'or', 'a', 'girlfriend', 'wheni', 'am', 'an', 'adult', 'i', 'plan', 'on', 'committing', 'suicide', 'can', 'you', 'please', 'help', 'me', 'thanks', 'for', 'reading']"
lincoln ne im sorry if i really want my life to end im sorry i drank for week straight i am sorry but its hard to say its going to be fine,Potential Suicide post ,"['lincoln', 'ne', 'im', 'sorry', 'if', 'i', 'really', 'want', 'my', 'life', 'to', 'end', 'im', 'sorry', 'i', 'drank', 'for', 'week', 'straight', 'i', 'am', 'sorry', 'but', 'its', 'hard', 'to', 'say', 'its', 'going', 'to', 'be', 'fine']"
bruh i hate myself a hot guy that ill never see again says one thing to me and im like damn that would be cute to,Potential Suicide post ,"['bruh', 'i', 'hate', 'myself', 'a', 'hot', 'guy', 'that', 'ill', 'never', 'see', 'again', 'says', 'one', 'thing', 'to', 'me', 'and', 'im', 'like', 'damn', 'that', 'would', 'be', 'cute', 'to']"
it makes me hate myself and i didn't do a damn thing,Potential Suicide post ,"['it', 'makes', 'me', 'hate', 'myself', 'and', 'i', 'did', ""n't"", 'do', 'a', 'damn', 'thing']"
y do i overthink everything in my life and then make myself believe these things i just end up disappointed or stressed ugh,Potential Suicide post ,"['y', 'do', 'i', 'overthink', 'everything', 'in', 'my', 'life', 'and', 'then', 'make', 'myself', 'believe', 'these', 'things', 'i', 'just', 'end', 'up', 'disappointed', 'or', 'stressed', 'ugh']"
hi cutie welcome to the twitternation,Not Suicide post,"['hi', 'cutie', 'welcome', 'to', 'the', 'twitternation']"
is chilling wit my boy,Not Suicide post,"['is', 'chilling', 'wit', 'my', 'boy']"
